         1248401 function calls (1153009 primitive calls) in 14.355 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 __init__.py:119(<module>)
     3854    0.009    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.011    0.011 summary.py:25(<module>)
       95    0.000    0.000    0.011    0.000 descriptor.py:870(__new__)
        1    0.000    0.000    0.011    0.011 init_ops.py:31(<module>)
       95    0.011    0.000    0.011    0.000 {method 'AddSerializedFile' of 'google.protobuf.pyext._message.DescriptorPool' objects}
        1    0.000    0.000    0.011    0.011 dense_features.py:15(<module>)
        1    0.000    0.000    0.011    0.011 function.py:16(<module>)
        1    0.000    0.000    0.011    0.011 _distributor_init.py:7(<module>)
      227    0.006    0.000    0.010    0.000 decorator_utils.py:35(_normalize_docstring)
        1    0.010    0.010    0.010    0.010 {built-in method _pywrap_tensorflow_internal.TF_LoadLibrary}
        1    0.000    0.000    0.010    0.010 cfg.py:23(<module>)
        3    0.000    0.000    0.010    0.003 util.py:15(<module>)
        1    0.000    0.000    0.010    0.010 feedparser.py:20(<module>)
        1    0.000    0.000    0.010    0.010 input_layer.py:17(<module>)
        1    0.000    0.000    0.010    0.010 npyio.py:1(<module>)
        1    0.000    0.000    0.010    0.010 control_flow_ops.py:18(<module>)
      256    0.001    0.000    0.010    0.000 deprecation.py:46(_add_deprecated_function_notice_to_docstring)
        2    0.000    0.000    0.010    0.005 adadelta.py:16(<module>)
     5134    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.009    0.009 feature_column_v2.py:124(<module>)
        1    0.000    0.000    0.009    0.009 compiler.py:18(<module>)
        1    0.000    0.000    0.009    0.009 profiler.py:16(<module>)
        1    0.000    0.000    0.009    0.009 tpu_ops.py:16(<module>)
        1    0.000    0.000    0.009    0.009 api.py:19(<module>)
        1    0.000    0.000    0.009    0.009 _defines.py:19(<module>)
        1    0.000    0.000    0.009    0.009 training_ops.py:16(<module>)
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
        1    0.000    0.000    0.009    0.009 basic_session_run_hooks.py:20(<module>)
        2    0.000    0.000    0.009    0.004 convert.py:15(<module>)
     8341    0.004    0.000    0.009    0.000 enum.py:284(__call__)
        2    0.000    0.000    0.009    0.004 base.py:1(<module>)
     5173    0.009    0.000    0.009    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.009    0.009 estimator.py:16(<module>)
        1    0.000    0.000    0.009    0.009 data_structures.py:1(<module>)
        4    0.000    0.000    0.009    0.002 __init__.py:57(<module>)
     1684    0.005    0.000    0.009    0.000 inspect.py:2750(__init__)
        1    0.000    0.000    0.008    0.008 misc.py:1(<module>)
       99    0.000    0.000    0.008    0.000 contextlib.py:210(contextmanager)
       55    0.000    0.000    0.008    0.000 tf_contextlib.py:25(contextmanager)
        1    0.000    0.000    0.008    0.008 distributed_training_utils.py:15(<module>)
