         3031009 function calls (2949432 primitive calls) in 18.465 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.022    0.001 tensorflow_backend.py:2953(batch_set_value)
        1    0.000    0.000    0.022    0.022 dense_features.py:15(<module>)
       37    0.001    0.000    0.022    0.001 backend.py:3332(batch_set_value)
      789    0.014    0.000    0.022    0.000 ops.py:1535(_NodeDef)
     9269    0.012    0.000    0.022    0.000 ops.py:5455(get_default)
        1    0.000    0.000    0.022    0.022 ragged_array_ops.py:15(<module>)
     3574    0.015    0.000    0.021    0.000 tf_export.py:283(_validate_symbol_names)
        1    0.000    0.000    0.021    0.021 tpu.py:16(<module>)
       22    0.000    0.000    0.021    0.001 array_ops.py:2730(pad_v2)
    16579    0.018    0.000    0.021    0.000 {built-in method _abc._abc_instancecheck}
       22    0.001    0.000    0.021    0.001 array_ops.py:2788(pad)
        1    0.000    0.000    0.021    0.021 __init__.py:219(<module>)
     6527    0.002    0.000    0.021    0.000 ops.py:202(is_dense_tensor_like)
        1    0.000    0.000    0.021    0.021 client.py:69(<module>)
        1    0.000    0.000    0.021    0.021 linalg.py:15(<module>)
     4502    0.004    0.000    0.021    0.000 nest.py:231(flatten)
        1    0.000    0.000    0.021    0.021 feature_column_v2.py:124(<module>)
        1    0.000    0.000    0.021    0.021 pyparsing.py:75(<module>)
   8388/2    0.011    0.000    0.021    0.010 copy.py:132(deepcopy)
    864/2    0.003    0.000    0.021    0.010 copy.py:236(_deepcopy_dict)
     1739    0.005    0.000    0.021    0.000 tokenize.py:487(_tokenize)
        1    0.000    0.000    0.021    0.021 sparse_tensor.py:15(<module>)
    590/6    0.001    0.000    0.021    0.003 copy.py:210(_deepcopy_list)
        2    0.000    0.000    0.021    0.010 __init__.py:45(<module>)
      281    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       43    0.000    0.000    0.020    0.000 __init__.py:3277(<genexpr>)
     3166    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     2155    0.002    0.000    0.020    0.000 training_utils.py:99(<listcomp>)
       42    0.000    0.000    0.020    0.000 __init__.py:2776(activate)
       58    0.000    0.000    0.020    0.000 resource_variable_ops.py:794(assign)
      164    0.001    0.000    0.020    0.000 __init__.py:2124(distributions_from_metadata)
      183    0.009    0.000    0.020    0.000 group.py:52(create_group)
        2    0.000    0.000    0.020    0.010 load.py:15(<module>)
        2    0.001    0.001    0.020    0.010 config_pb2.py:5(<module>)
        1    0.000    0.000    0.020    0.020 optimizers.py:16(<module>)
