         1441894 function calls (1343749 primitive calls) in 26.781 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.038    0.038 tpu_strategy.py:15(<module>)
  617/190    0.002    0.000    0.038    0.000 sre_parse.py:417(_parse_sub)
  846/201    0.014    0.000    0.037    0.000 sre_parse.py:475(_parse)
     3886    0.013    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.036    0.036 ragged_batch_gather_with_default_op.py:15(<module>)
        1    0.000    0.000    0.036    0.036 summary.py:29(<module>)
        1    0.000    0.000    0.036    0.036 image_data_generator.py:2(<module>)
        1    0.000    0.000    0.036    0.036 array_ops.py:16(<module>)
    18859    0.015    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.035    0.035 converter.py:60(<module>)
        1    0.000    0.000    0.035    0.035 __init__.py:189(<module>)
        1    0.000    0.000    0.034    0.034 summary_v2.py:26(<module>)
        2    0.000    0.000    0.034    0.017 app.py:16(<module>)
        2    0.000    0.000    0.034    0.017 tensor_util.py:15(<module>)
        1    0.000    0.000    0.034    0.034 ragged_dispatch.py:15(<module>)
        2    0.000    0.000    0.033    0.017 __init__.py:3(<module>)
        1    0.000    0.000    0.033    0.033 requirements.py:4(<module>)
      276    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.032    0.032 affine_transformations.py:2(<module>)
      142    0.001    0.000    0.032    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.032    0.032 __init__.py:219(<module>)
       20    0.000    0.000    0.032    0.002 __init__.py:2011(_by_version_descending)
        1    0.000    0.000    0.032    0.032 variables.py:15(<module>)
      327    0.013    0.000    0.031    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.030    0.030 __init__.py:22(<module>)
        1    0.000    0.000    0.030    0.030 model_config.py:17(<module>)
        1    0.000    0.000    0.030    0.030 test.py:22(<module>)
        1    0.000    0.000    0.029    0.029 app.py:26(<module>)
     2491    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:147(__enter__)
      190    0.000    0.000    0.029    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.029    0.029 sparse_tensor.py:15(<module>)
     3956    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.027    0.027 test_util.py:17(<module>)
        1    0.000    0.000    0.027    0.027 distribute_lib.py:92(<module>)
        1    0.000    0.000    0.026    0.026 training.py:19(<module>)
        3    0.000    0.000    0.026    0.009 save.py:15(<module>)
      386    0.000    0.000    0.026    0.000 __init__.py:1409(has_metadata)
      496    0.026    0.000    0.026    0.000 {built-in method nt._isdir}
        1    0.000    0.000    0.026    0.026 universaldetector.py:36(<module>)
     3473    0.007    0.000    0.026    0.000 tf_export.py:255(__init__)
     2013    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     4879    0.011    0.000    0.025    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      492    0.001    0.000    0.025    0.000 __init__.py:2026(_by_version)
     2376    0.010    0.000    0.025    0.000 version.py:198(__init__)
      180    0.000    0.000    0.024    0.000 __init__.py:1431(get_metadata_lines)
      180    0.001    0.000    0.024    0.000 __init__.py:1416(get_metadata)
        1    0.000    0.000    0.024    0.024 gen_sparse_ops.py:4(<module>)
        1    0.000    0.000    0.024    0.024 api.py:15(<module>)
     4310    0.005    0.000    0.023    0.000 interpreter.py:375(get_tensor)
        1    0.000    0.000    0.023    0.023 linalg.py:15(<module>)
        1    0.000    0.000    0.023    0.023 tpu.py:16(<module>)
       22    0.000    0.000    0.023    0.001 six.py:91(__get__)
        1    0.000    0.000    0.023    0.023 connectionpool.py:1(<module>)
       24    0.000    0.000    0.023    0.001 six.py:80(_import_module)
      492    0.001    0.000    0.023    0.000 __init__.py:2032(<listcomp>)
        2    0.001    0.000    0.022    0.011 config_pb2.py:5(<module>)
        1    0.000    0.000    0.022    0.022 rnn_cell_wrapper_v2.py:15(<module>)
        1    0.000    0.000    0.022    0.022 tpu_cluster_resolver.py:15(<module>)
        1    0.000    0.000    0.022    0.022 keys.py:15(<module>)
        2    0.000    0.000    0.022    0.011 load.py:15(<module>)
     1680    0.001    0.000    0.022    0.000 version.py:24(parse)
        2    0.000    0.000    0.021    0.011 __init__.py:45(<module>)
        1    0.021    0.021    0.021    0.021 rnn_cell_wrapper_v2.py:33(_RNNCellWrapperV2)
     1734    0.010    0.000    0.021    0.000 tf_decorator.py:67(make_decorator)
 1423/190    0.006    0.000    0.021    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.021    0.021 conversion.py:15(<module>)
        1    0.000    0.000    0.021    0.021 losses_impl.py:15(<module>)
       13    0.000    0.000    0.021    0.002 six.py:159(_resolve)
        1    0.000    0.000    0.020    0.020 stats_options.py:17(<module>)
      381    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
      180    0.004    0.000    0.020    0.000 __init__.py:1615(_get)
        1    0.000    0.000    0.020    0.020 backend.py:19(<module>)
        1    0.000    0.000    0.020    0.020 parser.py:5(<module>)
        1    0.000    0.000    0.020    0.020 stats_aggregator.py:15(<module>)
      696    0.002    0.000    0.020    0.000 __init__.py:1325(safe_version)
        1    0.000    0.000    0.020    0.020 nn.py:20(<module>)
     2155    0.011    0.000    0.020    0.000 shape_base.py:513(expand_dims)
        1    0.000    0.000    0.019    0.019 utils.py:2(<module>)
     3371    0.006    0.000    0.019    0.000 tf_export.py:312(__call__)
     8762    0.011    0.000    0.019    0.000 inspect.py:2467(__init__)
        1    0.000    0.000    0.019    0.019 pyparsing.py:75(<module>)
        1    0.000    0.000    0.019    0.019 feedparser.py:20(<module>)
      390    0.000    0.000    0.019    0.000 genericpath.py:16(exists)
      386    0.000    0.000    0.019    0.000 __init__.py:1603(_has)
        4    0.000    0.000    0.019    0.005 util.py:15(<module>)
        1    0.000    0.000    0.018    0.018 parameterized.py:158(<module>)
      276    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     4310    0.003    0.000    0.018    0.000 tensorflow_wrap_interpreter_wrapper.py:138(GetTensor)
        1    0.000    0.000    0.018    0.018 request.py:68(<module>)
        1    0.000    0.000    0.018    0.018 distributions.py:15(<module>)
     3473    0.012    0.000    0.017    0.000 tf_export.py:283(_validate_symbol_names)
      492    0.001    0.000    0.017    0.000 __init__.py:2565(__init__)
        1    0.000    0.000    0.017    0.017 loader.py:2(<module>)
        1    0.000    0.000    0.017    0.017 npyio.py:1(<module>)
        1    0.000    0.000    0.017    0.017 absltest.py:19(<module>)
       51    0.001    0.000    0.017    0.000 op_def_library.py:303(add_op_list)
        1    0.000    0.000    0.017    0.017 utils.py:9(<module>)
        1    0.000    0.000    0.017    0.017 optimizers.py:16(<module>)
        1    0.000    0.000    0.016    0.016 _policybase.py:4(<module>)
        1    0.001    0.001    0.016    0.016 gen_nn_ops.py:4(<module>)
        1    0.000    0.000    0.016    0.016 basic_session_run_hooks.py:20(<module>)
        1    0.000    0.000    0.016    0.016 ImageEnhance.py:21(<module>)
      358    0.003    0.000    0.016    0.000 module_wrapper.py:85(__init__)
     1225    0.002    0.000    0.016    0.000 op_def_library.py:292(add_op)
        1    0.000    0.000    0.016    0.016 audio_microfrontend_op.py:15(<module>)
        1    0.000    0.000    0.016    0.016 _elliptic_curve.py:47(<module>)
    18859    0.012    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.016    0.016 files.py:12(<module>)
     4310    0.016    0.000    0.016    0.000 {built-in method _tensorflow_wrap_interpreter_wrapper.InterpreterWrapper_GetTensor}
        1    0.000    0.000    0.015    0.015 appdirs.py:9(<module>)
        1    0.000    0.000    0.015    0.015 _int.py:32(<module>)
        2    0.000    0.000    0.015    0.008 connection.py:1(<module>)
        1    0.000    0.000    0.015    0.015 control_flow_ops.py:18(<module>)
