         3736770 function calls (3535359 primitive calls) in 18.023 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      935    0.012    0.000    0.113    0.000 ops.py:1567(_create_c_op)
        6    0.000    0.000    0.112    0.019 __init__.py:2(<module>)
     2590    0.004    0.000    0.112    0.000 re.py:271(_compile)
        1    0.000    0.000    0.111    0.111 pyopenssl.py:43(<module>)
      236    0.000    0.000    0.111    0.000 __init__.py:3277(<genexpr>)
      235    0.001    0.000    0.110    0.000 __init__.py:2776(activate)
     1709    0.001    0.000    0.109    0.000 re.py:232(compile)
        5    0.000    0.000    0.108    0.022 Blaze_profile.py:30(convblock)
     2021    0.002    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      193    0.001    0.000    0.105    0.001 sre_compile.py:759(compile)
     2155    0.005    0.000    0.104    0.000 generic_utils.py:528(slice_arrays)
        1    0.000    0.000    0.102    0.102 __init__.py:569(_build_master)
        1    0.000    0.000    0.102    0.102 __init__.py:556(__init__)
      234    0.003    0.000    0.102    0.000 constant_op.py:230(_constant_impl)
61869/18598    0.072    0.000    0.101    0.000 module_wrapper.py:151(__getattribute__)
       16    0.000    0.000    0.101    0.006 convolutional.py:1806(build)
     3062    0.034    0.000    0.100    0.000 inspect.py:2117(_signature_from_function)
      961    0.008    0.000    0.097    0.000 tf_inspect.py:260(getcallargs)
        1    0.000    0.000    0.096    0.096 base_layer.py:16(<module>)
      121    0.000    0.000    0.096    0.001 state_ops.py:198(assign)
        1    0.000    0.000    0.096    0.096 wrap_function.py:16(<module>)
      121    0.001    0.000    0.096    0.001 gen_state_ops.py:30(assign)
     2155    0.096    0.000    0.096    0.000 generic_utils.py:555(<listcomp>)
        1    0.000    0.000    0.095    0.095 nested_structure_coder.py:27(<module>)
1293/1277    0.003    0.000    0.094    0.000 ops.py:1249(internal_convert_to_tensor)
        2    0.000    0.000    0.093    0.047 iterator_ops.py:15(<module>)
      213    0.000    0.000    0.091    0.000 constant_op.py:164(constant)
      531    0.002    0.000    0.090    0.000 __init__.py:2191(_handle_ns)
        1    0.000    0.000    0.090    0.090 io_utils.py:1(<module>)
        1    0.000    0.000    0.088    0.088 __init__.py:13(<module>)
      235    0.001    0.000    0.087    0.000 __init__.py:2290(fixup_namespace_packages)
     1225    0.002    0.000    0.087    0.000 tf_export.py:383(kwarg_only)
        1    0.000    0.000    0.082    0.082 imdb.py:16(<module>)
      528    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
      492    0.003    0.000    0.080    0.000 __init__.py:2578(from_location)
       74    0.001    0.000    0.080    0.001 npyio.py:291(load)
      528    0.000    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
        2    0.000    0.000    0.078    0.039 ops.py:15(<module>)
        1    0.000    0.000    0.076    0.076 image.py:18(<module>)
      345    0.000    0.000    0.076    0.000 ops.py:1127(convert_to_tensor)
        1    0.000    0.000    0.076    0.076 resource_variable_ops.py:15(<module>)
      345    0.000    0.000    0.075    0.000 ops.py:1187(convert_to_tensor_v2)
        1    0.000    0.000    0.075    0.075 tensorflow_backend.py:2844(_make_callable)
        1    0.000    0.000    0.075    0.075 session.py:1494(_make_callable_from_options)
347472/347409    0.072    0.000    0.074    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.073    0.073 optional_ops.py:15(<module>)
      193    0.001    0.000    0.073    0.000 sre_parse.py:919(parse)
      156    0.002    0.000    0.072    0.000 io_utils.py:215(__setitem__)
  669/193    0.002    0.000    0.071    0.000 sre_parse.py:417(_parse_sub)
        1    0.000    0.000    0.071    0.071 v1.py:19(<module>)
 1027/204    0.015    0.000    0.071    0.000 sre_parse.py:475(_parse)
     1302    0.002    0.000    0.070    0.000 tf_inspect.py:98(getargspec)
    73/58    0.000    0.000    0.069    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
    73/58    0.009    0.000    0.069    0.001 {built-in method _imp.exec_dynamic}
        7    0.000    0.000    0.068    0.010 __init__.py:6(<module>)
       74    0.001    0.000    0.067    0.001 format.py:652(read_array)
20226/8660    0.020    0.000    0.067    0.000 contextlib.py:116(__exit__)
     1302    0.002    0.000    0.065    0.000 tf_inspect.py:55(_getargspec)
      761    0.065    0.000    0.065    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.064    0.064 crypto.py:1(<module>)
       74    0.000    0.000    0.064    0.001 array_ops.py:2577(placeholder)
     1060    0.002    0.000    0.064    0.000 __init__.py:2765(_get_metadata)
        1    0.000    0.000    0.064    0.064 session.py:1453(__init__)
        1    0.064    0.064    0.064    0.064 {built-in method _pywrap_tensorflow_internal.TF_SessionMakeCallable}
